customer_id,customer_name,city,age
CUST0,Victoria Hernandez MD,Meganbury,33
CUST1,Sherry Simpson,Jonesberg,28
CUST2,Erica Jimenez,Bowmanstad,46
CUST3,Mr. Dakota Lynch II,Howardborough,58
CUST4,Victor Nolan,Melissaton,46
CUST5,Amanda Hernandez,Port Audreyside,52
CUST6,Richard Kirby,West Chloefort,35
CUST7,Michelle Roman,Darinberg,25
CUST8,Bradley Melton,Masseyshire,44
CUST9,Danny Williams,South Christopher,33
CUST10,Ryan Rivera,West Danny,21
CUST11,Charles Douglas,Melissaton,25
CUST12,Kathy Santana,Masseyshire,54
CUST13,Laura Gregory,Maldonadoshire,37
CUST14,Norma Mooney,Herringchester,31
CUST15,Susan Harris,East Courtney,36
CUST16,Linda Petersen,Bartonton,21
CUST17,Dr. James Willis,New Juanbury,47
CUST18,Rebecca Sandoval,West Frankshire,18
CUST19,Christopher Hunter,Mathewstad,22
CUST20,Austin Heath,West Richardmouth,55
CUST21,Elizabeth Russell,Robertville,43
CUST22,Amy Davidson,Port Gabriellafort,52
CUST23,Dustin Greer,Odonnelltown,18
CUST24,Andrew Butler,Erictown,35
CUST25,Scott Love DDS,Burtontown,27
CUST26,William Jenkins,Jonesberg,46
CUST27,Jasmine Williams,Port Carrie,40
CUST28,Christian Johnson,Lake Brittany,60
CUST29,Lorraine Garcia,Mathewstad,38
CUST30,Hannah Reyes,Masseyhaven,60
CUST31,Katherine Ibarra,South Alanfurt,47
CUST32,Julie Chen,Melissaton,46
CUST33,Caleb Fleming,East Sallybury,42
CUST34,Rachel Martinez,Howardborough,19
CUST35,Rebecca Stark,North Thomas,51
CUST36,Melanie Patrick,Lake Brittany,49
CUST37,Rachel Lopez,Wadetown,38
CUST38,Jill Sherman,Melissaton,37
CUST39,Richard Jones,Harmonmouth,51
CUST40,Timothy Tucker,North Charlene,30
CUST41,Theresa Estrada,Port Carrie,23
CUST42,Cindy Davis,Port Mackenziechester,41
CUST43,Stacy Chan,Bartonton,30
CUST44,Jennifer Torres,Masseyhaven,38
CUST45,Jeffery Knight,Changchester,21
CUST46,Taylor Perry,South Jasonton,39
CUST47,Raymond Navarro,Deborahfurt,43
CUST48,Jeremy Parks,Staceyshire,22
CUST49,Thomas Rivers,Port Christopherbury,20
CUST50,Angela Jones,Mathewstad,49
CUST51,Allen Bailey,East Courtney,52
CUST52,William Fuentes,Odonnelltown,53
CUST53,Steven Clark,Changchester,46
CUST54,Michael Mays,West Donald,40
CUST55,Adam Wood,Michaelburgh,45
CUST56,Larry Villarreal,South Darrenfort,36
CUST57,Brian Cooper,Masseyhaven,32
CUST58,Beverly Levy,Bellport,51
CUST59,John Carter,Robinville,18
CUST60,Tina Fields,Barbaraport,57
CUST61,Willie Garcia,Port Mackenziechester,51
CUST62,Brooke Hurst,Bowmanstad,32
CUST63,Regina Stewart,Alanberg,39
CUST64,Paul Carter,Port Jessicatown,44
CUST65,Angel Anderson,South Markmouth,39
CUST66,Blake Jones,Aarontown,44
CUST67,Juan Yang,Changchester,32
CUST68,Jay Walsh,West Frankshire,36
CUST69,Jeremy Wood,North Davidborough,23
CUST70,Amy Ortiz,West Ryanborough,48
CUST71,Nicholas Flores,Deborahfurt,43
CUST72,Edward Ruiz,East Lori,23
CUST73,Rebecca Hill,New Ronaldville,43
CUST74,Melissa Flynn,West Kimberlyton,46
CUST75,James Saunders,Davismouth,44
CUST76,David Chavez,South Jasonton,47
CUST77,Brenda Ford,North Kyle,26
CUST78,Karen Harris,Lake Emily,58
CUST79,Michael Montgomery,Melissaton,20
CUST80,Edwin Mack,Aimeebury,19
CUST81,Kimberly Moore,Paulchester,43
CUST82,Kaitlin Gregory,West Chloefort,42
CUST83,Crystal Gill,Port Kevin,57
CUST84,William Martinez,East Erinside,26
CUST85,Amanda Scott,Wadetown,48
CUST86,Lauren Foster,Aarontown,47
CUST87,David Campbell,South James,33
CUST88,Susan Larson,Bowmanstad,21
CUST89,Ricky Torres,New Ronaldville,36
CUST90,Joseph Wright,New Laurenside,39
CUST91,Carla Perry,Cabreraville,49
CUST92,Joseph Berry,Bellport,42
CUST93,Kim Jenkins,East Erinside,23
CUST94,Jennifer Osborne,Robertville,30
CUST95,Ebony Watson,Staceyshire,57
CUST96,Brooke Terry,South Christopher,25
CUST97,Kevin Taylor,West Corey,59
CUST98,Heather Kennedy,Gonzalezstad,30
CUST99,John Neal,East Lori,27
CUST100,Matthew Brown,Darinberg,38
CUST101,Patrick Williams,Mathewstad,37
CUST102,Allison Ruiz,Lake Mark,26
CUST103,Alexandra Rose,Johnsonshire,53
CUST104,Sean Parks,Davismouth,55
CUST105,Maureen Smith,Port Heidi,52
CUST106,Marc Key,Lake Mark,48
CUST107,Melissa Acosta,West Corey,31
CUST108,Paul Roberts,North Charlene,45
CUST109,Joel Rivera,Lake Emily,37
CUST110,Javier Prince,Changchester,36
CUST111,Jermaine Fletcher,Lisaside,33
CUST112,Beverly Lozano,Masseyhaven,59
CUST113,Richard Price,East Sallybury,52
CUST114,Jean Robinson,Gonzalezstad,23
CUST115,Todd Willis,Michaelside,55
CUST116,James Young,East Jeffrey,43
CUST117,Cody Brown,East Nicholas,56
CUST118,Carrie Bishop,Port Audreyside,27
CUST119,Michele Hunt,Darinberg,50
CUST120,Shawn Gomez,Bryanside,53
CUST121,Mark Black,Erictown,50
CUST122,Tina Spears,Ramoshaven,23
CUST123,Lauren Henry,Port Kevin,23
CUST124,Cindy Adams,New Tannerville,39
CUST125,Christopher Smith,Meganbury,18
CUST126,Brenda Buchanan,Herringchester,20
CUST127,Tracy Sanders,South Christopher,58
CUST128,Jody Morgan,North Lynntown,40
CUST129,Stephen Norton,South Darrenfort,48
CUST130,Jesus Nguyen,Port Emmaville,26
CUST131,Andrew Wood,New Andrewburgh,31
CUST132,Joseph Lopez,Melissaton,50
CUST133,Michael Fitzgerald,Lake Brittany,20
CUST134,Scott Scott,New Ronaldville,56
CUST135,Micheal Williams,West Danny,28
CUST136,Andrea Murray,Port Kevin,30
CUST137,Amber Lamb,Aimeebury,30
CUST138,Julia Wilson,Changchester,53
CUST139,Brett Cannon,West Donald,18
CUST140,Thomas Alexander,Grayshire,39
CUST141,Jeffery Fischer,Port Emmaville,22
CUST142,Amanda White,Bowmanstad,38
CUST143,Carl Pitts DVM,South Christopher,22
CUST144,Jeffrey Hawkins,Cabreraville,35
CUST145,Joshua Harris,Lake Brittany,21
CUST146,Jeremy Jacobs,New Laurenside,22
CUST147,Debbie Hall,Port Christopherbury,45
CUST148,Richard Garcia,New Andrewburgh,56
CUST149,Danielle Mitchell,Port Karafort,35
CUST150,Mary Harmon,Bowmanstad,49
CUST151,Shannon Martinez,Port Tammy,58
CUST152,Bailey Mclaughlin,New Ronaldville,45
CUST153,Michael Warner,South Darrenfort,53
